,City Name,latitude,longitude,temperature,humidity,windspeed,cloudiness,country,date
87,atasu,48.68,71.64,5.58,77,4.87,47,KZ,1600815320
88,hovd,48.01,91.64,10.95,46,2.68,23,MN,1600815321
89,medicine hat,50.05,-110.67,17.22,59,1.5,90,CA,1600815321
90,lazaro cardenas,17.96,-102.2,29.13,77,4.02,69,MX,1600815321
91,vardo,70.37,31.11,6.0,81,8.7,75,NO,1600815321
92,sar-e pul,35.83,66.17,5.19,67,0.15,0,AF,1600815321
93,kapaa,22.08,-159.32,30.0,62,5.7,1,US,1600815321
94,lagoa,39.05,-27.98,20.33,90,6.42,91,PT,1600815322
95,longyearbyen,78.22,15.64,-3.02,92,1.34,0,SJ,1600815081
96,kaitangata,-46.28,169.85,13.09,76,2.14,73,NZ,1600815320
97,machiques,10.06,-72.55,28.24,71,1.33,100,VE,1600815322
98,mana,5.66,-53.78,26.96,80,6.31,33,GF,1600815322
99,kahului,20.89,-156.47,32.0,52,11.3,40,US,1600815178
100,enkoping,59.64,17.08,12.0,76,4.1,60,SE,1600815322
101,butaritari,3.07,172.79,28.26,77,8.35,25,KI,1600815129
102,flinders,-34.58,150.86,18.89,51,1.79,0,AU,1600815095
103,mugumu,-1.85,34.7,17.63,76,2.16,76,TZ,1600815323
104,bredasdorp,-34.53,20.04,7.0,87,1.5,58,ZA,1600815074
105,college,64.86,-147.8,11.67,53,0.99,75,US,1600815165
106,cabedelo,-6.98,-34.83,24.0,88,4.1,3,BR,1600815304
107,bengkulu,-3.8,102.27,24.61,83,2.7,68,ID,1600815102
108,namibe,-15.2,12.15,17.78,89,1.48,50,AO,1600815323
109,otane,-39.88,176.63,15.56,63,3.13,100,NZ,1600815324
110,khorixas,-20.37,14.97,14.33,46,0.88,5,NA,1600815324
111,castro,-24.79,-50.01,10.88,86,4.38,24,BR,1600815070
112,chicama,-7.84,-79.15,18.43,74,3.16,33,PE,1600815118
113,yibin,28.77,104.62,18.06,91,1.57,100,CN,1600815254
114,carlsbad,33.16,-117.35,28.33,69,5.7,1,US,1600815287
115,poum,-20.23,164.02,22.36,70,2.29,0,NC,1600815324
116,viransehir,37.24,39.76,23.77,31,3.22,0,TR,1600815311
117,ust-tsilma,65.44,52.15,5.84,91,3.61,100,RU,1600815324
118,cabo san lucas,22.89,-109.91,32.0,70,5.1,40,MX,1600815324
119,upernavik,72.79,-56.15,-2.68,88,2.46,72,GL,1600815325
120,pangkalanbuun,-2.68,111.62,23.85,92,0.37,100,ID,1600815325
121,lumphat,13.49,106.98,22.6,98,0.67,100,KH,1600815325
122,new norfolk,-42.78,147.06,11.11,68,1.34,68,AU,1600815325
123,ribeira grande,38.52,-28.7,20.64,85,4.81,93,PT,1600815132
124,quatre cocos,-20.21,57.76,21.0,73,3.1,40,MU,1600815325
125,cetate,44.1,23.05,15.88,42,2.29,8,RO,1600815326
126,pangody,65.85,74.49,2.95,82,4.61,95,RU,1600815326
127,viedma,-40.81,-63.0,11.67,53,0.45,47,AR,1600815252
128,yulara,-25.24,130.99,14.0,41,4.1,0,AU,1600815326
129,yellowknife,62.46,-114.35,12.78,81,8.7,20,CA,1600815326
130,faanui,-16.48,-151.75,25.68,76,7.13,3,PF,1600815117
131,khatanga,71.97,102.5,7.67,70,6.81,70,RU,1600815146
132,todos santos,23.45,-110.22,30.0,75,0.89,64,MX,1600815327
133,port hardy,50.7,-127.42,15.0,77,5.7,90,CA,1600815086
134,sakakah,29.97,40.21,30.0,17,4.1,0,SA,1600815327
135,northam,51.03,-4.22,15.56,91,1.79,90,GB,1600815327
136,baykit,61.67,96.37,6.03,87,1.81,100,RU,1600815327
137,yar-sale,66.83,70.83,2.75,89,5.87,44,RU,1600815328
138,hofn,64.25,-15.21,4.68,65,4.84,0,IS,1600815328
139,vao,-22.67,167.48,21.27,79,5.61,2,NC,1600815328
140,balkanabat,39.51,54.37,20.64,23,4.24,0,TM,1600815328
141,bad soden-salmunster,50.28,9.37,17.22,63,1.28,51,DE,1600815328
142,tasiilaq,65.61,-37.64,-2.0,74,4.1,100,GL,1600815115
143,geraldton,-28.77,114.6,10.0,93,2.1,0,AU,1600815329
144,vila velha,-20.33,-40.29,23.0,100,4.1,75,BR,1600815267
145,cabinda,-5.55,12.2,23.59,82,3.26,94,AO,1600815329
146,petrolina,-9.4,-40.5,27.87,43,6.45,0,BR,1600815329
147,caravelas,-17.71,-39.25,23.64,84,3.31,80,BR,1600815131
148,leningradskiy,69.38,178.42,4.94,79,7.55,99,RU,1600815330
149,pangnirtung,66.15,-65.71,3.0,51,5.1,40,CA,1600815330
150,aasiaat,68.71,-52.87,-6.67,96,1.63,67,GL,1600815330
151,san ramon,37.78,-121.98,30.56,16,7.2,1,US,1600815212
152,husavik,66.04,-17.34,2.0,89,2.6,75,IS,1600815330
153,morehead,37.27,-87.18,21.0,88,1.83,1,US,1600815331
154,goderich,43.75,-81.72,20.0,47,4.38,60,CA,1600815150
155,hithadhoo,-0.6,73.08,27.63,67,2.92,47,MV,1600815076
156,vaitape,-16.52,-151.75,26.16,75,7.09,4,PF,1600815331
157,cockburn town,21.46,-71.14,27.61,81,5.18,100,TC,1600815331
158,hermanus,-34.42,19.23,11.11,90,0.45,28,ZA,1600815331
159,chokurdakh,70.63,147.92,5.77,88,3.49,99,RU,1600815085
160,shahdadkot,27.85,67.91,29.84,19,2.28,0,PK,1600815332
161,laguna de perlas,12.34,-83.67,29.0,79,4.1,40,NI,1600815332
162,abalak,58.13,68.59,3.28,88,5.04,87,RU,1600815332
163,high level,58.52,-117.14,15.0,62,4.1,40,CA,1600815333
164,urdoma,61.75,48.54,4.03,85,4.08,0,RU,1600815333
165,cidreira,-30.18,-50.21,14.61,72,7.84,0,BR,1600815259
166,coquimbo,-29.95,-71.34,12.0,93,4.6,75,CL,1600815333
167,lorengau,-2.02,147.27,29.1,74,4.16,93,PG,1600815333
168,bonavista,48.65,-53.11,9.89,87,7.23,100,CA,1600815334
169,lecce,40.22,18.17,25.0,94,3.1,20,IT,1600815334
170,avarua,-21.21,-159.78,27.0,83,6.2,55,CK,1600815334
171,ust-maya,60.42,134.53,7.21,61,0.61,0,RU,1600815334
172,dingle,11.0,122.67,25.95,85,0.81,63,PH,1600815334
173,banepa,27.63,85.52,20.0,100,3.6,75,NP,1600815335
174,pathein,16.78,94.73,25.5,91,0.89,98,MM,1600815335
175,belmonte,-15.86,-38.88,25.0,78,3.6,75,BR,1600815335
176,tecoanapa,16.52,-98.75,29.56,71,4.36,5,MX,1600815336
177,alta floresta,-9.88,-56.09,22.46,96,0.81,100,BR,1600815066
178,lata,40.16,-8.33,20.0,93,2.6,20,PT,1600815133
179,isiro,2.77,27.62,19.61,98,0.58,55,CD,1600815336
180,fort saint james,54.43,-124.25,14.98,59,2.1,96,CA,1600815336
181,sokolo,14.73,-6.12,28.56,55,2.95,82,ML,1600815336
182,hit,33.64,42.83,28.08,26,4.88,0,IQ,1600815337
183,imbituba,-28.24,-48.67,17.0,55,1.5,75,BR,1600815065
184,tari,12.41,4.49,26.55,66,2.56,57,NG,1600815337
185,morlaix,48.58,-4.0,16.11,93,3.6,90,FR,1600815337
186,toora-khem,52.47,96.11,5.27,84,0.56,45,RU,1600815107
187,tuatapere,-46.13,167.68,13.89,79,4.47,35,NZ,1600815337
188,mayumba,-3.43,10.66,23.91,87,4.03,100,GA,1600815337
189,marawi,8.0,124.29,24.44,85,3.13,92,PH,1600815338
190,mirabad,30.44,61.84,19.22,35,7.54,0,AF,1600815338
191,malanje,-9.54,16.34,21.22,77,2.96,84,AO,1600815338
192,westport,41.14,-73.36,21.0,18,5.1,1,US,1600815063
193,narsaq,60.92,-46.05,2.0,43,2.1,0,GL,1600815338
194,pundaguitan,6.37,126.17,29.17,71,3.11,94,PH,1600815339
195,ilheus,-14.79,-39.05,22.94,90,2.9,37,BR,1600815063
196,bure,10.7,37.07,12.46,92,1.34,52,ET,1600815339
197,necocli,8.42,-76.79,31.0,70,3.1,40,CO,1600815339
198,meulaboh,4.14,96.13,24.78,88,1.76,89,ID,1600815340
199,marang,5.21,103.21,27.0,88,1.5,40,MY,1600815340
200,aklavik,68.22,-135.01,6.0,87,0.9,75,CA,1600815340
201,victor harbor,-35.57,138.62,12.78,78,0.45,20,AU,1600815340
202,hamilton,39.18,-84.53,23.33,43,2.1,1,US,1600815119
203,chuy,-33.7,-53.46,9.5,78,3.91,39,UY,1600815094
204,pevek,69.7,170.31,3.85,92,9.0,100,RU,1600815341
205,novyy urengoy,66.08,76.63,4.35,79,4.48,100,RU,1600815341
206,hualmay,-11.1,-77.61,16.99,79,3.18,18,PE,1600815341
207,tiksi,71.69,128.87,5.93,72,8.64,33,RU,1600815341
208,makubetsu,45.37,141.82,15.12,76,8.05,0,JP,1600815341
209,parczew,51.64,22.9,12.0,100,0.5,0,PL,1600815342
210,weifang,36.71,119.1,18.17,82,2.69,79,CN,1600815342
211,nanortalik,60.14,-45.24,3.05,76,5.05,0,GL,1600815342
212,samfya,-11.36,29.56,21.01,42,5.96,0,ZM,1600815342
213,luderitz,-26.65,15.16,19.36,27,1.96,0,NA,1600815342
214,oistins,13.07,-59.53,29.0,74,3.6,40,BB,1600815343
215,jyvaskyla,62.24,25.72,5.56,93,0.5,91,FI,1600815343
216,tarauaca,-8.16,-70.77,25.31,86,1.12,69,BR,1600815343
217,kokopo,-4.35,152.26,28.95,64,0.53,100,PG,1600815343
218,ostrovnoy,68.05,39.51,6.69,83,4.77,75,RU,1600815154
219,brandon,27.94,-82.29,28.33,61,4.6,40,US,1600815050
220,aska,19.61,84.67,25.33,91,0.51,68,IN,1600815344
221,doha,25.29,51.53,32.0,79,1.0,0,QA,1600815286
222,wynyard,-41.0,145.72,11.11,75,4.47,80,AU,1600815344
223,isangel,-19.55,169.27,27.0,65,4.1,40,VU,1600815344
224,souillac,-20.52,57.52,21.0,73,3.1,40,MU,1600815344
225,gat,31.61,34.76,26.11,90,2.68,2,IL,1600815122
226,provideniya,64.38,-173.3,8.0,65,3.0,4,RU,1600815344
227,nanga eboko,4.68,12.37,20.17,97,2.01,27,CM,1600815344
228,kruisfontein,-34.0,24.73,10.0,56,1.85,0,ZA,1600815345
229,codrington,-38.27,141.97,10.34,83,6.49,94,AU,1600815196
230,padang,-0.95,100.35,26.2,74,2.35,82,ID,1600815160
231,san luis,-33.3,-66.34,16.66,30,2.03,47,AR,1600815345
232,broken hill,-31.95,141.43,12.0,62,5.7,0,AU,1600815345
233,arraial do cabo,-22.97,-42.03,19.49,88,9.11,100,BR,1600815345
234,maceio,-9.67,-35.74,23.0,88,2.6,14,BR,1600815260
235,erenhot,43.65,111.98,12.53,41,2.63,48,CN,1600815346
236,laguna,38.42,-121.42,32.78,27,3.6,1,US,1600815346
237,torbay,47.67,-52.73,12.22,87,7.2,90,CA,1600815346
238,dukhovshchina,55.19,32.41,10.45,94,2.17,0,RU,1600815346
239,kununurra,-15.77,128.73,27.0,74,3.74,0,AU,1600815282
240,bambous virieux,-20.34,57.76,21.0,73,3.1,40,MU,1600815140
241,chegutu,-18.13,30.14,15.19,75,5.63,0,ZW,1600815347
242,lunglei,22.88,92.73,20.36,100,0.9,100,IN,1600815347
243,cabo rojo,18.09,-67.15,28.89,86,0.45,100,PR,1600815341
244,ekibastuz,51.67,75.37,6.96,72,5.79,94,KZ,1600815347
245,papetoai,-17.5,-149.87,30.0,62,8.7,20,PF,1600815348
246,cherskiy,68.75,161.3,2.4,83,2.43,100,RU,1600815348
247,port blair,11.67,92.75,27.77,81,2.7,100,IN,1600815349
248,komsomolets,53.75,62.07,9.68,78,9.26,100,KZ,1600815349
249,dzilam gonzalez,21.28,-88.93,29.24,67,2.82,24,MX,1600815349
250,chardara,41.25,67.97,12.23,41,4.11,19,KZ,1600815349
251,mecca,21.43,39.83,31.34,12,3.36,0,SA,1600815257
252,malakal,9.53,31.66,23.61,86,0.8,99,SS,1600815349
253,ordzhonikidze,52.44,61.74,9.35,77,8.76,92,KZ,1600815349
254,la ronge,55.1,-105.28,15.0,47,4.6,75,CA,1600815350
255,hambantota,6.12,81.12,26.63,78,6.37,93,LK,1600815350
256,leh,34.17,77.58,8.77,43,1.96,0,IN,1600815350
257,olinda,-8.01,-34.86,26.0,74,3.6,20,BR,1600815350
258,tabou,4.42,-7.35,24.45,87,4.4,66,CI,1600815351
259,koundara,12.48,-13.3,24.95,87,1.95,42,GN,1600815351
260,axim,4.87,-2.24,24.14,88,5.17,96,GH,1600815351
261,batemans bay,-35.72,150.18,18.33,62,5.81,0,AU,1600815351
262,saint-augustin,51.23,-58.65,10.06,67,2.18,100,CA,1600815352
263,kidal,18.44,1.41,32.4,32,1.03,0,ML,1600815352
264,onomichi,34.42,133.2,19.0,77,2.6,20,JP,1600815353
265,bathsheba,13.22,-59.52,29.0,74,3.6,40,BB,1600815353
266,nortelandia,-14.45,-56.8,29.54,38,1.27,4,BR,1600815353
267,minbu,20.18,94.88,24.85,91,3.21,100,MM,1600815353
268,ballina,-28.87,153.57,23.0,53,2.6,83,AU,1600815353
269,orlik,52.52,99.83,4.78,70,0.77,54,RU,1600815354
270,kuryk,43.2,51.65,15.51,32,3.28,0,KZ,1600815354
271,nuuk,64.18,-51.72,1.0,86,2.1,10,GL,1600815354
272,manta,-0.95,-80.73,27.0,69,6.2,20,EC,1600815300
273,dunmore east,52.15,-6.99,12.78,91,1.79,100,IE,1600815354
274,kieta,-6.22,155.63,29.43,59,1.75,100,PG,1600815354
275,gimli,50.63,-96.99,28.89,45,1.79,35,CA,1600815198
276,san carlos de bariloche,-41.15,-71.31,10.0,46,8.2,1,AR,1600815182
